BonePb,dieldrin,dde,tde,pcb105,pcb118,pcb128,pcb138,pcb153,pcb156,pcb170,pcb180,pcb187,hcbenz,Age,Sex,Year,weight,length,xcoord,ycoord,region,country
5.457,125,190,22.1,,,,60.4,70,,,75.4,,14.6,Adult,Female,2000,8.5,1070,311500,224500,EA Wales,Wales
5.467,81.1,196,5.8,,50.8,,90.5,103.3,20.6,,61.2,,14.4,Adult,Female,2000,6.5,1030,569800,247800,Anglian Region,England
4.824,1710,4050,209,,69.4,,138,165,31.5,,98.3,,72.4,Subadult,Female,2000,9.6,1170,586500,228800,Anglian Region,England
4.258,62.1,314,8.3,,166,,344,508,88.8,,427,,50.1,Adult,Male,2000,6.4,1190,403000,571000,North East Region,England
2.896,407,914,127,,30.9,,86.5,107,23.9,,64.1,,40.2,Juvenile,Female,2000,7,1075,352000,320000,Midlands Region,England
4.06,151,300,96.9,,26.1,,95.5,117,12.1,,83.6,,21,Adult,Male,2000,9.1,1120,256400,339800,EA Wales,Wales
5.826,230,874,179,,4.2,,26.4,33.6,40.2,,67,,31.5,Adult,Male,2000,1.7,640,290200,229200,EA Wales,Wales
5.054,282.1,752.4,28.6,17,51.2,20.4,124,191,18.4,63.4,136,214.2,9.7,Subadult,Male,2000,9.46,1135,556527,281131,Anglian Region,England
6.842,9,265.3,294.3,3.8,9.6,4.4,23.8,45.9,3.9,12.4,27.5,15.1,6.6,Adult,Female,2000,7.06,,640500,264300,Anglian Region,England
3.969,52.4,55.2,6.7,3.9,9,6.1,25.5,42,6,16.8,35.9,39.1,5.5,Adult,Male,2000,8.52,1215,631900,250600,Anglian Region,England
4.502,177.3,1581.2,55.4,19.6,44.6,18.8,74.7,102.3,19.9,34.4,64.5,60.6,18.9,Adult,Female,2000,6.52,1100,613400,238700,Anglian Region,England
4.238,103.6,137.6,18.3,4.8,7.8,4.9,21,33.6,4.7,10.4,20.7,17.5,7.6,Adult,Female,2000,6.28,,308500,227200,EA Wales,Wales
3.976,99.4,170.6,35,5.1,14.5,7.4,54.7,82.2,8.5,34.5,61.4,30.4,8.3,Adult,Male,2000,5.7,1030,306800,227700,EA Wales,Wales
4.261,23,53.9,7.8,9.3,22.7,9.1,45.8,77.4,9.6,22.4,47.2,28,8.9,Adult,Female,2000,6.8,1150,600600,294400,Anglian Region,England
3.913,39.5,67.9,17.2,4.8,11.2,3.8,21.9,36.2,,9.1,21,26.8,6.4,Adult,Male,2000,8.94,1115,602700,322800,Anglian Region,England
4.963,64.8,79.2,5.9,13.4,38,12.2,57.1,75.2,12.3,28,52.6,55.2,31.5,Adult,Male,2000,10.1,1220,484900,243800,Anglian Region,England
4.229,33,54,11.6,8.2,16.9,11.7,49.1,81.4,10.2,20.2,49,35.4,8.5,Adult,Male,2000,7.34,1090,490700,471400,North East Region,England
4.538,147.5,118.6,19.7,6.6,16.4,7.6,33.8,52.8,6.3,15.1,33.2,61.6,7,Adult,Female,2000,7.44,1050,470300,436500,North East Region,England
